月份,日期,合格产品累计数,不合格产品累计数
1,1,3518,1
1,2,3318,1
1,3,3435,1
1,4,3444,1
1,5,3362,1
1,6,3397,6
1,7,3393,4
1,8,3735,0
1,9,3457,7
1,10,3445,2
1,11,3420,7
1,12,3525,0
1,13,3373,0
1,14,3298,8
1,15,3093,6
1,16,3296,0
1,17,3129,4
1,18,3515,1
1,19,3659,3
1,20,3536,1
1,21,3414,1
1,22,3193,1
1,23,3622,4
1,24,3680,0
1,25,3476,2
1,26,3424,3
1,27,3365,6
1,28,3202,1
1,29,3410,1
1,30,3525,5
1,31,3449,0
2,1,3218,4
2,2,3578,1
2,3,3468,6
2,4,3288,6
2,5,3815,0
2,6,3446,5
2,7,3436,0
2,8,3491,3
2,9,3530,1
2,10,3392,5
2,11,3257,2
2,12,3710,0
2,13,3488,3
2,14,3415,5
2,15,3795,6
2,16,3361,4
2,17,3410,0
2,18,3197,3
2,19,3614,6
2,20,3449,0
2,21,3287,3
2,22,3687,5
2,23,3315,1
2,24,3807,3
2,25,3245,4
2,26,3151,7
2,27,3711,7
2,28,3475,3
3,1,3222,13
3,2,3279,12
3,3,3348,15
3,4,3194,5
3,5,2916,12
3,6,2753,7
3,7,3269,8
3,8,3108,14
3,9,2984,6
3,10,3805,8
3,11,2927,14
3,12,2938,0
3,13,2886,5
3,14,2942,11
3,15,3317,9
3,16,2975,14
3,17,3137,11
3,18,3594,0
3,19,3236,4
3,20,2989,3
3,21,3119,14
3,22,2946,3
3,23,3766,3
3,24,2977,11
3,25,3077,11
3,26,3266,10
3,27,3024,10
3,28,2864,5
3,29,3001,3
3,30,3242,9
3,31,3245,7
4,1,3013,10
4,2,3028,5
4,3,3068,11
4,4,3242,9
4,5,2893,4
4,6,3480,6
4,7,2790,1
4,8,3268,5
4,9,3033,9
4,10,3364,14
4,11,2999,8
4,12,3085,5
4,13,3040,14
4,14,2992,12
4,15,3195,6
4,16,2872,14
4,17,2990,1
4,18,2919,11
4,19,2976,12
4,20,3052,2
4,21,3357,8
4,22,3536,12
4,23,2923,3
4,24,3176,11
4,25,3578,0
4,26,2638,9
4,27,3333,9
4,28,2876,4
4,29,3598,15
4,30,3678,14
5,1,3417,3
5,2,3777,10
5,3,3192,5
5,4,3103,11
5,5,3092,8
5,6,3193,8
5,7,3747,1
5,8,2955,11
5,9,3204,3
5,10,3345,5
5,11,2885,0
5,12,3366,10
5,13,3199,13
5,14,2911,6
5,15,3475,14
5,16,3097,3
5,17,3481,3
5,18,3120,1
5,19,3019,3
5,20,3194,3
5,21,3041,8
5,22,3007,4
5,23,2851,4
5,24,2914,12
5,25,2759,9
5,26,2983,4
5,27,2743,0
5,28,2760,9
5,29,3281,11
5,30,2994,9
5,31,3218,12
6,1,2882,4
6,2,3589,18
6,3,2977,6
6,4,3202,17
6,5,3099,6
6,6,2885,7
6,7,2811,15
6,8,3012,9
6,9,3643,4
6,10,3186,13
6,11,3211,2
6,12,3027,3
6,13,2674,7
6,14,3326,17
6,15,2887,17
6,16,2960,6
6,17,3324,20
6,18,2965,5
6,19,2798,10
6,20,2984,6
6,21,2807,5
6,22,2926,1
6,23,3048,8
6,24,3079,12
6,25,2732,4
6,26,3112,17
6,27,2875,1
6,28,2978,6
6,29,2901,15
6,30,2856,15
7,1,3247,12
7,2,3336,16
7,3,3043,16
7,4,3048,8
7,5,3130,6
7,6,2882,1
7,7,3177,9
7,8,3163,22
7,9,3141,12
7,10,2990,10
7,11,2975,14
7,12,2979,4
7,13,3078,13
7,14,3152,14
7,15,3299,6
7,16,3448,11
7,17,3270,7
7,18,2932,15
7,19,3205,21
7,20,2920,7
7,21,2887,1
7,22,3061,17
7,23,2873,16
7,24,3180,5
7,25,3210,22
7,26,3087,9
7,27,3141,5
7,28,3059,13
7,29,2753,9
7,30,3002,24
7,31,2880,0
8,1,2771,13
8,2,2801,2
8,3,2752,13
8,4,3221,22
8,5,3196,4
8,6,3174,14
8,7,3284,21
8,8,2983,1
8,9,2860,11
8,10,3333,18
8,11,3075,5
8,12,3778,25
8,13,3389,5
8,14,2790,9
8,15,3359,19
8,16,3398,24
8,17,2781,10
8,18,2596,15
8,19,2872,23
8,20,3216,1
8,21,2956,8
8,22,3073,4
8,23,3447,21
8,24,3549,15
8,25,2982,2
8,26,2862,0
8,27,3057,11
8,28,2973,12
8,29,3015,10
8,30,2522,0
8,31,3450,15
9,1,3599,8
9,2,3526,0
9,3,3586,2
9,4,2979,1
9,5,3138,6
9,6,3477,9
9,7,3435,4
9,8,3242,5
9,9,3426,8
9,10,3173,7
9,11,2998,1
9,12,3487,4
9,13,3138,2
9,14,3644,8
9,15,3297,6
9,16,3358,4
9,17,3205,5
9,18,3178,3
9,19,3123,6
9,20,3323,8
9,21,3556,5
9,22,3134,1
9,23,3586,12
9,24,3220,4
9,25,3127,7
9,26,3218,7
9,27,2979,7
9,28,3392,4
9,29,3281,5
9,30,3832,4
10,1,3481,12
10,2,3314,4
10,3,3462,8
10,4,2998,1
10,5,3255,8
10,6,3408,2
10,7,3683,1
10,8,3489,7
10,9,3435,0
10,10,3548,0
10,11,3136,3
10,12,3451,11
10,13,3001,2
10,14,3389,0
10,15,3570,1
10,16,3432,2
10,17,3186,3
10,18,3156,1
10,19,3339,2
10,20,3199,8
10,21,3148,0
10,22,3485,1
10,23,3318,9
10,24,3091,6
10,25,3350,5
10,26,3283,6
10,27,3547,9
10,28,2979,8
10,29,3701,2
10,30,3528,0
10,31,3505,4
11,1,3019,2
11,2,3572,5
11,3,3394,9
11,4,3601,2
11,5,3164,4
11,6,3805,11
11,7,3329,5
11,8,3443,6
11,9,3389,2
11,10,3570,8
11,11,3357,2
11,12,3162,9
11,13,3255,4
11,14,3225,7
11,15,3287,6
11,16,2907,3
11,17,3051,5
11,18,3002,9
11,19,3653,5
11,20,3392,6
11,21,2953,1
11,22,3226,7
11,23,3239,0
11,24,3499,3
11,25,3204,1
11,26,3495,7
11,27,3431,11
11,28,3152,8
11,29,3111,0
11,30,3169,3
12,1,3733,7
12,2,3548,2
12,3,3820,5
12,4,3131,5
12,5,3384,4
12,6,3600,3
12,7,3581,0
12,8,3445,3
12,9,3317,4
12,10,3419,3
12,11,3452,4
12,12,3188,1
12,13,3893,6
12,14,3441,3
12,15,3453,4
12,16,3383,0
12,17,3659,1
12,18,3453,7
12,19,3501,3
12,20,3318,4
12,21,3445,4
12,22,3502,1
12,23,3798,2
12,24,3546,8
12,25,3492,0
12,26,3590,1
12,27,3421,3
12,28,3626,5
12,29,3181,3
12,30,3407,2
12,31,3530,0
